Census Tract,Total Population,California County,ZIP,Approximate Location,Longitude,Latitude,CES 4.0 Score,CES 4.0 Percentile,CES 4.0 Percentile Range,Ozone,Ozone Pctl,PM2.5,PM2.5 Pctl,Diesel PM,Diesel PM Pctl,Drinking Water,Drinking Water Pctl,Lead,Lead Pctl,Pesticides,Pesticides Pctl,Tox. Release,Tox. Release Pctl,Traffic,Traffic Pctl,Cleanup Sites,Cleanup Sites Pctl,Groundwater Threats,Groundwater Threats Pctl,Haz. Waste,Haz. Waste Pctl,Imp. Water Bodies,Imp. Water Bodies Pctl,Solid Waste,Solid Waste Pctl,Pollution Burden,Pollution Burden Score,Pollution Burden Pctl,Asthma,Asthma Pctl,Low Birth Weight,Low Birth Weight Pctl,Cardiovascular Disease,Cardiovascular Disease Pctl,Education,Education Pctl,Linguistic Isolation,Linguistic Isolation Pctl,Poverty,Poverty Pctl,Unemployment,Unemployment Pctl,Housing Burden,Housing Burden Pctl,Pop. Char. ,Pop. Char. Score,Pop. Char. Pctl
6073003601,3006,San Diego,92113,San Diego,-117.1165151,32.6909862,65.8053063292806,98.0332829046899,95-100% (highest scores),0.04259906,29.8942128189172,10.39058624,51.6739265712508,0.368136906,82.6011200995644,312.860703,28.9871362557762,82.79122291,91.8462507876497,0.0,0.0,663.1013387,57.0892723180795,1429.379206,76.2875,1.5,20.4740574841359,64.5,93.3421882782666,1.945,92.3626737260093,17,96.7870642587148,10.0,91.0423825887743,61.1321759933299,7.46422654614149,92.2837585563161,107.84,94.4915254237288,6.77,87.4390556838594,16.25,72.5573280159521,39.0,89.2179195140471,17.6,82.473947760184,66.9,95.9924623115578,6.6,63.4174908901614,33.1,94.638783269962,84.9887118951813,8.81609178425829,96.583459404942
6073005000,2195,San Diego,92113,San Diego,-117.1411746,32.6948502,62.5089220327074,96.8103883005547,95-100% (highest scores),0.04259906,29.8942128189172,10.38171205,51.6365899191039,1.202168333,98.9421281891724,312.860703,28.9871362557762,60.59275154,66.6288594833018,0.0,0.0,5707.896647,93.6484121030258,672.1473987,33.9375,27.6,87.6633072041807,68.5,93.989706126515,7.435,98.8749172733289,20,98.42503149937,8.1,86.6437571592211,64.6793511816158,7.89733593205812,95.6067205973864,108.9,94.7033898305085,5.52,65.0243777264563,16.38,73.3673978065803,36.8,87.129840546697,25.6,92.9083773176343,58.3,90.3643216080402,2.0,6.29880270692348,38.1,97.8453738910013,76.3038658342871,7.91519096698942,88.4518406454866
6073004900,5505,San Diego,92113,San Diego,-117.138677,32.7018526,61.1361010459895,96.2808875441251,95-100% (highest scores),0.04259906,29.8942128189172,10.32175868,51.2383322962041,0.650548054,94.4243932794026,312.860703,28.9871362557762,70.5365868,79.8487712665406,0.0,0.0,934.3960164,62.6656664166041,537.2402406,23.7375,14.8,74.5054124673386,47.55,89.4072721235265,5.68,98.1601588352085,19,98.0680386392272,8.3,87.1477663230241,60.7189109203421,7.41376696281625,91.8108276291226,100.3,92.6844466600199,4.9,49.6150885296382,15.08,66.6500498504487,47.3,94.9253353581372,17.6,82.473947760184,68.3,96.7211055276382,8.4,77.7589796980739,33.3,94.828897338403,79.4957574082614,8.24629386823428,92.0953101361573
6025012100,6779,Imperial ,92231,Calexico,-115.4976096,32.6767102,60.5110401908808,96.0287443267776,95-100% (highest scores),0.05395594,70.2800248911014,11.84684504,71.1636589919104,0.784387066,96.602364654636,440.6835349,52.7413513175971,64.78704881,72.5771896660365,0.0,0.0,439.7705587,49.0872718179545,2837.0,95.0125,7.0,50.3172825681224,23.0,72.4887929603188,0.3,50.1389808074123,26,99.5170096598068,0.0,0.0,60.4528345113137,7.38127908612447,91.5619166148102,60.28,69.3419740777667,4.13,29.6638439825507,21.12,90.9521435692921,43.5,92.5208807896735,52.8,99.6210583299499,56.6,88.7311557788945,28.8,99.8828735033836,31.8,92.9404309252218,79.0293002043139,8.19790709507667,91.5532022188603
6073003902,4388,San Diego,92113,San Diego,-117.1263197,32.696749,60.4405629290904,95.9531013615734,95-100% (highest scores),0.04259906,29.8942128189172,10.28523495,50.9894212818917,0.614636469,93.2794026135657,312.860703,28.9871362557762,74.58640627,84.2091997479521,0.0,0.0,711.6420084,58.4646161540385,962.4120271,55.7625,4.6,41.0974244120941,46.6,89.0420056450274,3.705,97.0086035737922,19,98.0680386392272,5.25,76.7468499427262,60.2630688868696,7.35810874107287,91.2507778469197,105.4,94.130109670987,4.76,45.8686168847832,15.94,71.1615154536391,41.5,91.0275879524171,20.5,87.3189876843957,58.6,90.6281407035176,13.9,95.6012493492972,23.4,75.3485424588086,79.1858244830785,8.21414375024277,91.679273827534
6025012200,7237,Imperial ,92231,Calexico,-115.5143868,32.6730724,58.3763335762997,94.7049924357035,90-95%,0.05395594,70.2800248911014,11.21152955,56.9881767268202,0.43305889,86.7205973864343,440.5955289,51.6672911202698,39.86681604,36.9754253308129,59.15656491,73.3448275862069,449.8443095,49.5373843460865,3199.0,96.725,7.0,50.3172825681224,0.0,0.0,0.2,35.6187954996691,26,99.5170096598068,6.0,79.9541809851088,61.2137118631581,7.4741820596521,92.3459863098942,60.28,69.3419740777667,4.47,37.8752886836028,21.12,90.9521435692921,44.5,93.2295621361681,47.7,99.3097848152659,46.5,78.1030150753769,10.8,89.1853201457574,20.0,62.8263624841572,75.2936388541162,7.81039759406355,87.0146243066062
6025011400,4570,Imperial ,92243,El Centro,-115.5453184,32.7938734,54.854368025861,92.4104891578417,90-95%,0.05022962,62.5264467952707,8.702281199,29.8817672682016,0.093500392,35.0466708151836,392.7431513,42.6501810915449,66.58024393,74.8078134845621,57.1272259,73.1379310344828,39.49348067,16.5166291572893,1000.786639,57.85,8.0,53.4341172079134,5.0,30.8816204549228,0.675,77.4586366644606,10,82.9693406131877,6.0,79.9541809851088,54.3479796989175,6.6358775261342,81.0080896079651,100.38,92.7966101694915,4.86,48.5373364126251,20.31,88.2726819541376,48.7,95.8238420652999,25.4,92.7189064826093,73.0,98.3291457286432,15.4,97.1369078604893,13.4,30.2027883396705,79.6889304703803,8.26633219341782,92.3096318709027
6073003901,4379,San Diego,92113,San Diego,-117.1267377,32.7035568,54.0317180583649,91.7170953101362,90-95%,0.04259906,29.8942128189172,10.25551144,50.7654013690106,0.36520857,82.3895457373989,312.860703,28.9871362557762,74.19873842,83.768115942029,0.0,0.0,563.7289835,53.900975243811,566.8468027,26.025,0.75,9.79843225083987,16.3,61.9126681055952,1.595,90.9199205823958,15,94.5611087778244,1.1,36.4719358533792,49.2218033185809,6.00997240830416,68.4131922837586,100.19,92.6595214356929,6.59,84.8473184500898,15.06,66.6126620139581,42.7,92.0020248038471,21.7,88.6994180538639,60.1,91.6959798994975,11.7,91.5538781884435,34.7,95.8681875792142,86.6685325024434,8.9903437798995,97.6802824004034
6025010400,7303,Imperial ,92227,Brawley,-115.5223739,32.9902904,53.2135331992406,91.0489157841654,90-95%,0.04320513,32.1468574984443,9.051216809,38.4443061605476,0.099275766,37.0379589296826,457.9589149,54.9893842887473,53.37273269,56.3074984247007,50.50890531,72.2758620689655,20.4044329,11.6404101025256,374.8528974,12.5125,24.0,85.6289660321015,17.0,63.3737340195916,0.15,26.6710787557909,26,99.5170096598068,2.0,52.8980526918671,48.1521542000783,5.87936846339871,65.4884878655881,135.16,97.7442671984048,5.03,53.1562740569669,19.97,87.4127617148554,39.7,89.7241204758289,25.5,92.8001082690486,70.8,97.6507537688442,21.7,99.518479958355,34.3,95.6400506970849,87.2522351452874,9.05089271586141,98.0584972264246
6073003404,5062,San Diego,92102,San Diego,-117.0939094,32.7139554,53.0670851451303,90.9228441754917,90-95%,0.04259906,29.8942128189172,10.32683275,51.2632233976354,0.658256347,94.7230864965775,312.860703,28.9871362557762,87.52293351,95.1228733459357,0.0,0.0,344.8318278,44.3360840210052,2158.704865,89.2125,8.9,54.9458753266144,30.0,79.6945043998008,0.755,80.2779616148246,12,90.1301973960521,1.95,44.5360824742268,59.4339011087552,7.25686752006215,90.1057871810828,70.58,78.8384845463609,5.36,61.2137541698743,10.5,34.1849451645065,38.9,89.1419893697798,13.1,71.6741101637569,61.1,92.3743718592965,7.0,67.4778761061947,32.5,93.8910012674271,70.4954655234358,7.31267106618971,80.7110438729198
